record_id,res_ClO2,raw_turb,fin_turb,NH3N,CODMn_raw,CODMn_fin,bacteria,flow,clearwell_ClO2,terminal_dose_logged,year,month,day
107,0.16,5.8,0.22,0.1,2.16,1.54,85.0,4955.0,0.19,,2021,5.0,13.0
108,0.13,6.16,0.2,0.11,2.4,1.5,,4933.0,0.21,,2021,5.0,14.0
109,0.08,10.5,0.14,0.15,2.12,1.32,,4945.0,0.23,,2021,5.0,15.0
110,0.18,6.32,0.16,0.12,2.08,1.32,87.0,5103.0,0.28,,2021,5.0,17.0
111,0.15,3.64,0.28,0.14,1.98,1.62,98.0,5088.0,0.27,,2021,5.0,18.0
112,0.1,3.47,0.2,0.13,2.16,1.44,,4874.0,0.22,,2021,5.0,19.0
113,0.13,2.86,0.15,0.11,2.24,1.48,74.0,5012.0,0.22,,2021,5.0,21.0
114,0.17,5.76,0.28,0.13,2.36,1.48,,5101.0,0.23,,2021,5.0,22.0
115,0.17,2.98,0.17,0.14,1.98,1.62,,4894.0,0.26,,2021,5.0,23.0
116,0.11,4.3,0.2,0.14,1.88,1.6,90.0,5079.0,0.29,,2021,5.0,24.0
117,0.14,1.49,0.22,0.13,1.9,1.07,,5181.0,0.23,,2021,5.0,25.0
118,0.12,5.86,0.13,0.12,1.94,1.15,126.0,5225.0,0.31,,2021,5.0,26.0
119,0.13,6.1,0.09,0.16,1.82,1.19,,5181.0,0.25,,2021,5.0,27.0
120,0.15,3.09,0.24,0.11,1.84,1.16,,4971.0,0.23,,2021,5.0,28.0
121,0.09,5.89,0.24,0.13,1.98,1.23,,3342.0,0.16,,2021,6.0,1.0
122,0.1,4.38,0.32,0.18,1.84,1.44,,3143.0,,,2021,6.0,1.0
123,0.09,10.6,0.29,0.15,2.28,1.52,,3576.0,0.22,,2021,6.0,2.0
124,0.08,1.21,0.16,0.17,1.86,1.44,129.0,3156.0,,,2021,6.0,2.0
125,0.05,9.53,0.19,0.12,1.92,1.32,102.0,3347.0,,,2021,6.0,3.0
126,0.15,6.57,0.18,0.2,2.92,1.88,,5010.0,0.23,,2021,6.0,3.0
127,0.1,6.82,0.18,0.11,1.48,1.24,218.0,3158.0,,,2021,6.0,4.0
128,0.13,9.28,0.2,0.11,1.52,1.32,,3468.0,,,2021,6.0,5.0
129,0.03,7.34,0.24,0.12,1.5,1.27,,3573.0,,,2021,6.0,6.0
130,0.04,2.62,0.15,0.11,1.6,1.28,220.0,3558.0,0.18,,2021,6.0,7.0
131,0.03,6.13,0.19,0.24,2.25,1.24,,3252.0,0.15,,2021,6.0,8.0
132,0.06,4.8,0.19,0.11,2.0,1.2,200.0,3593.0,0.15,,2021,6.0,9.0
133,0.12,5.83,0.2,0.22,1.94,1.07,206.0,3528.0,0.16,,2021,6.0,11.0
134,0.15,5.9,0.19,0.21,2.0,1.2,,3364.0,0.12,,2021,6.0,12.0
135,0.14,5.48,0.18,0.21,1.68,1.31,229.0,1322.0,0.21,,2021,6.0,15.0
136,0.1,7.38,0.21,0.13,2.14,1.7,,3289.0,0.21,,2021,6.0,16.0
137,0.12,6.46,0.17,0.18,2.24,1.64,,1669.0,0.2,,2021,6.0,17.0
138,0.14,9.3,0.19,0.11,2.91,1.94,209.0,1695.0,0.22,,2021,6.0,18.0
